name,latitude,longitude,acres14,acres15,acres16,acres17,acres18,acres19,acres20,HouseUnits14,HouseUnits15,HouseUnits16,HouseUnits17,HouseUnits18,HouseUnits19,HouseUnits20,OwnOccupied14,OwnOccupied15,OwnOccupied16,OwnOccupied17,OwnOccupied18,OwnOccupied19,OwnOccupied20,TotalPop14,TotalPop15,TotalPop16,TotalPop17,TotalPop18,TotalPop19,TotalPop20,Households14,Households15,Households16,Households17,Households18,Households19,Households20,Families14,Families15,Families16,Families17,Families18,Families19,Families20,Crash14,Crash15,Crash16,Crash17,Crash18,Crash19,Crash20
South Shore,43.0543909,-89.3913986,379,374.9,374.9,374.9,374.9,374.9,374.9,1316,1316,1316,1316,1316,1316,1316,44.9,44.9,44.9,44.9,44.9,44.9,44.9,2401,2400,2400,2400,2400,2400,2400,1266,1265,1265,1265,1265,1265,1265,15.7,15.7,15.7,15.7,15.7,15.7,15.7,61,49,66,54,89,102,51
Univ Campus,43.0737818,-89.4095681,424.1,422.5,422.5,422.5,422.5,422.5,422.5,1589,1589,1589,1589,1589,1589,1589,0,0,0,0,0,0,0,7345,7342,7342,7342,7342,7342,7342,1507,1507,1507,1507,1507,1507,1507,0.1,0.1,0.1,0.1,0.1,0.1,0.1,66,70,68,49,194,185,107
Highland Park,43.0686452,-89.4248472,499.7,499.7,499.7,499.7,499.7,499.7,499.7,3379,3379,3379,3379,3379,3379,3379,43.5,43.5,43.5,43.5,43.5,43.5,43.5,7419,7419,7419,7419,7419,7419,7419,3292,3292,3292,3292,3292,3292,3292,16.8,16.8,16.8,16.8,16.8,16.8,16.8,76,82,75,75,108,102,51
West Lawn,43.0587345,-89.4305184,388.6,388.6,388.6,388.6,388.6,388.6,388.6,866,866,866,866,866,866,866,78,78,78,78,78,78,78,2311,2311,2311,2311,2311,2311,2311,836,836,836,836,836,836,836,27.5,27.5,27.5,27.5,27.5,27.5,27.5,38,42,30,21,38,38,19
Hoyt Park,43.0680098,-89.4438446,472.4,472.4,472.4,472.4,472.4,472.4,472.4,1844,1844,1844,1844,1844,1844,1844,63.3,63.3,63.3,63.3,63.3,63.3,63.3,3551,3551,3551,3551,3551,3551,3551,1787,1787,1787,1787,1787,1787,1787,17.5,17.5,17.5,17.5,17.5,17.5,17.5,59,54,49,41,99,77,47
Midvale,43.0547272,-89.4483558,448.2,448.2,448.2,448.2,448.2,448.2,448.2,1472,1472,1472,1472,1472,1472,1472,89.8,89.8,89.8,89.8,89.8,89.8,89.8,3146,3146,3146,3146,3146,3146,3146,1399,1399,1399,1399,1399,1399,1399,27.1,27.1,27.1,27.1,27.1,27.1,27.1,20,16,21,13,42,30,21
Golf Park,43.051695,-89.463857,706.5,687.4,687.4,687.4,687.4,687.4,687.4,1090,1086,1086,1086,1086,1086,1086,80,80.2,80.2,80.2,80.2,80.2,80.2,2452,2436,2436,2436,2436,2436,2436,1054,1050,1050,1050,1050,1050,1050,25.5,25.4,25.4,25.4,25.4,25.4,25.4,38,40,39,21,71,64,38
Nakoma,43.0426653,-89.4452318,563.4,563.4,563.4,563.4,563.4,563.4,563.4,1443,1443,1443,1443,1443,1443,1443,80,80,80,80,80,80,80,3201,3201,3201,3201,3201,3201,3201,1359,1359,1359,1359,1359,1359,1359,28.4,28.4,28.4,28.4,28.4,28.4,28.4,41,41,31,33,43,34,29
University Hills,43.0676522,-89.4602829,580.8,580.8,580.8,580.8,580.8,580.8,580.8,3126,3126,3126,3126,3126,3126,3126,30.7,30.7,30.7,30.7,30.7,30.7,30.7,5372,5372,5372,5372,5372,5372,5372,2946,2946,2946,2946,2946,2946,2946,14.5,14.5,14.5,14.5,14.5,14.5,14.5,93,72,78,52,86,105,60
Spring Harbor,43.0827766,-89.4752584,497.2,497,497,497,497,496.8,497,1326,1326,1326,1326,1326,1326,1326,69.9,69.9,69.9,69.9,69.9,69.9,69.9,2533,2532,2532,2532,2532,2531,2532,1232,1232,1232,1232,1232,1231,1232,20.5,20.5,20.5,20.5,20.5,20.5,20.5,33,35,30,28,38,51,30
